"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"62",2015-01-25,NA,4,5,9,1,10,4,NA,NA,1,11,2,NA,4,11,1,8,5,"0","Sunday","01","January",1,"2015"
"63",2015-02-12,NA,3,5,8,2,14,7,1,NA,1,16,1,NA,3,10,3,11,10,"4","Thursday","02","February",1,"2015"
"64",2015-02-20,NA,5,3,18,NA,17,5,NA,NA,NA,10,NA,NA,3,4,NA,25,11,"5","Friday","02","February",1,"2015"
"65",2015-02-21,NA,5,8,6,1,16,7,0,NA,3,10,3,NA,3,10,2,18,5,"6","Saturday","02","February",1,"2015"
"66",2015-02-26,NA,6,5,7,1,16,8,NA,NA,1,8,2,NA,1,6,2,18,19,"4","Thursday","02","February",1,"2015"
"67",2015-03-01,NA,4,5,9,NA,19,6,2,NA,1,10,NA,NA,3,7,2,18,13,"0","Sunday","03","March",1,"2015"
"68",2015-03-13,NA,4,7,9,2,16,7,0,NA,1,10,1,NA,4,12,1,13,9,"5","Friday","03","March",1,"2015"
"69",2015-03-21,NA,8,5,10,2,14,6,3,NA,1,5,2,NA,5,5,1,19,11,"6","Saturday","03","March",1,"2015"
"70",2015-03-26,NA,14,7,8,NA,19,5.5,NA,NA,NA,7,NA,NA,2.5,9,NA,16.5,8,"4","Thursday","03","March",1,"2015"
"71",2015-03-29,3,10,8,11,1,12,4,1,NA,0,10,2,1,3,9,2,15,6,"0","Sunday","03","March",1,"2015"
"72",2015-03-30,7,11,5,7,1,13,5,1,NA,1,9,1,0,5,6,1,11,16,"1","Monday","03","March",1,"2015"
"73",2015-04-11,NA,13,7,7,2,12,4,3,NA,2,4,1,NA,4,13,2,14,12,"6","Saturday","04","April",2,"2015"
"74",2015-04-16,NA,8,13,3.5,2,15,5.5,1.5,NA,2,8,1.5,NA,3,9.5,2.5,11.5,11,"4","Thursday","04","April",2,"2015"
"75",2015-04-18,NA,11,9,10,1,13,6,1,NA,0,5,2,NA,2,11,1,15,10,"6","Saturday","04","April",2,"2015"
"76",2015-04-19,5,8,13,6,2,9,6,0,NA,1,9,1,1,2,10,1,12,9,"0","Sunday","04","April",2,"2015"
"77",2015-04-25,NA,7,17,5,2,9,5,2,NA,2,6,2,NA,2,8,1,19,9,"6","Saturday","04","April",2,"2015"
"78",2015-04-26,NA,11,18,7,NA,23,5,1,NA,NA,5,NA,NA,2,11,NA,14,3,"0","Sunday","04","April",2,"2015"
"79",2015-05-02,NA,7,11,4,5,14,7,0,NA,0,7,0,NA,6,9,1,16,9,"6","Saturday","05","May",2,"2015"
"80",2015-05-07,NA,10,13,12,NA,11,5,NA,NA,NA,12,NA,NA,2,9,NA,18,7,"4","Thursday","05","May",2,"2015"
